Review,POSITIVE
"With small children in the car, this is perfect, and just works!",POSITIVE
Very easy to set up and use and looks very slick,POSITIVE
This app is better than sliced bread.,POSITIVE
So easy to use and beats waiting in the queue to pay when itâ€™s busy!,POSITIVE
Does exactly what I need it to do!,POSITIVE
Please allow me to pay via my Jaguar car touchscreen,POSITIVE
Quite amazed by how quick the pumps gets unlocked! Bye bye queuing to pay.,POSITIVE
It works!  Driving off without going into the shop was exciting ðŸ™‚. Bring on the coffee pre order option.,POSITIVE
"""Using this app on the day of release was fabulous. But thing changed on next week. ",POSITIVE
,POSITIVE
Now because of new changes the pump will stop at Â£XXX.50. For example if you fill up for Â£40.00 the pump will stop at Â£39.50 and It is absolutely fine. Bank hold the Â£40.00 till BP request. I thought my Barclays will released Â£39.50 to BP and will return Â£0.50 to me after 10 days.,NEGATIVE
,POSITIVE
"However when BP requested for Â£39.50, which is the correct that I filled up for my car, my Barclays released Â£39.50 to BP but still holding Â£40 because thats the amount that i authorised from my phone. No idea when I will see that Â£40 back in my account hopefully after 10days later.",NEGATIVE
,POSITIVE
Please consider the following points before you use this app.,NEGATIVE
,POSITIVE
1) You will need Â£20 to fill up just Â£10 as Bank will hold up extra Â£10 for donâ€™t know how long.,NEGATIVE
,POSITIVE
2) You make sure to check the pump before you authorised the payment. Because once you authorised bank will hold the money for at least 10 days even pump is not working. If you have extra money for the month this will not be issue but I have. ,NEGATIVE
,POSITIVE
"love the idea but things are not smooth as I expected yet. BP should work with Apple Pay or Google Pay to avoid this problem.""",NEGATIVE
Log in button blinks when I tap it but does nothing. Useless.,NEGATIVE
Normally arrive at petrol station and have to muck around getting my wallet and card and then wander into the shop. Now I donâ€™t. Itâ€™s great.,POSITIVE
"Would not accept Amex card, and could not get Nectar card to load.  Add to that the privacy policy where they seem able to do whatever with your data- Iâ€™ve decided to do it the old way.",NEGATIVE
Very shocking that BP app cannot add Amex as a payment card or cannot add Apple Pay as a payment method. Been using Shell app with those since nearly 2 years.,NEGATIVE
"The few issues Iâ€™ve found with the app is that not all stations have it, and, if you want to fill your tank completely itâ€™s useless. However, it is nice as the pump will lock itself after however much youâ€™ve put in. Also not having to queue in the store saves so much time.",POSITIVE
